Isolate	Reads	Yield	GeeCee	MinLen	AvgLen	MaxLen	AvgQual	ErrQual	Ambiguous
SRR12072643	861011	258895423	53.6	35	150	151	31.6	22.6	0.0
SRR12072398	476583	286632818	54.5	65	300	301	31.4	18.5	0.0
SRR12072627	786453	236427147	53.9	35	150	151	31.7	22.6	0.0
SRR12072392	533649	320894423	55	35	300	301	31.9	19.4	0.0
SRR12072633	936947	281642057	56	35	150	151	31.6	22.6	0.0
SRR12072397	389785	234404026	51.9	49	300	301	30.9	18.3	0.0
SRR12072393	475233	285773832	51.7	97	300	301	29.8	17.5	0.0
SRR12072403	456527	274569577	54.8	52	300	301	30.2	17.8	0.0
SRR12072395	385960	232131779	54.9	35	300	301	30.0	17.7	0.0
SRR12072404	639007	384312011	55.9	35	300	301	32.3	19.3	0.0
SRR12072399	383933	230895318	55.1	35	300	301	30.9	18.3	0.0
SRR12072624	767938	230795047	51.4	35	150	151	31.7	22.7	0.0
SRR12072400	476458	286554822	54.6	35	300	301	31.3	18.5	0.0
SRR12072402	430853	259125491	55.2	35	300	301	30.7	18.1	0.0
SRR12072605	692757	208317030	54.7	35	150	151	31.6	22.5	0.0
SRR12072394	604245	363359021	51.9	67	300	301	32.5	19.6	0.0
SRR12072629	889595	267326036	55.4	35	150	151	31.6	22.6	0.0
SRR12072609	669018	201220372	53.7	35	150	151	31.6	22.6	0.0
SRR12072646	720335	216486268	54	35	150	151	31.8	22.8	0.0
SRR12072647	808629	243075928	54.1	35	150	151	31.6	22.6	0.0
SRR12072625	809857	243321077	54.4	35	150	151	31.6	22.6	0.0
SRR12072635	716159	215104785	55.2	35	150	151	33.1	24.3	0.0
SRR12072613	1091229	328473529	53.1	35	150	151	34.2	26.8	0.0
SRR12072617	783827	235697871	49.8	35	150	151	32.7	23.9	0.0
SRR12072607	685432	205997137	54.3	35	150	151	31.6	22.5	0.0
SRR12072649	867289	260386825	56.2	35	150	151	31.8	22.8	0.0
SRR12072641	469388	141270746	55.8	35	150	151	33.1	24.3	0.0
SRR12072650	698961	210070964	53.6	35	150	151	31.5	22.4	0.0
SRR12072645	718265	215873059	54	35	150	151	31.8	22.8	0.0
SRR12072644	717720	215751876	50.5	35	150	151	32.7	23.9	0.0
SRR12072610	954334	287286020	52.9	35	150	151	34.2	26.8	0.0
SRR12072634	796772	239503365	53.9	35	150	151	31.6	22.6	0.0
SRR12072628	781102	235162217	52.2	35	150	151	34.2	26.9	0.0
SRR12072632	511119	153372411	53.7	35	150	151	31.3	22.1	0.0
SRR12072611	743940	223784196	50.9	35	150	151	32.9	24.1	0.0
SRR12072623	750207	225567745	49.9	35	150	151	32.2	23.0	0.0
SRR12072621	1083920	325936044	53.8	35	150	151	31.6	22.6	0.0
SRR12072639	417539	125561208	54.9	35	150	151	33.1	24.3	0.0
SRR12072619	1471693	442951513	49.6	35	150	151	33.6	25.4	0.0
SRR12072622	964157	290193174	50.5	35	150	151	32.8	24.0	0.0
SRR12072626	746017	224088531	54.5	35	150	151	32.9	24.1	0.0
SRR12072614	569294	171926939	49.2	151	151	151	32.2	22.9	0.0
SRR12072638	556070	167388794	50.1	35	150	151	32.7	23.8	0.0
SRR12072612	839395	253497441	56	151	151	151	32.1	22.7	0.0
SRR12072636	521482	156942508	55.2	35	150	151	33.0	24.1	0.0
SRR12072616	1265357	379607250	56.6	150	150	150	33.9	26.2	0.0
SRR12072648	683321	205478561	50.5	35	150	151	32.8	24.0	0.0
SRR12072620	713376	214438779	55.9	35	150	151	33.1	24.3	0.0
SRR12072637	775954	234338108	55.2	151	151	151	32.0	22.7	0.0
SRR12072615	778484	234096530	50.1	35	150	151	32.8	24.0	0.0
SRR12072608	737274	221639362	54.9	35	150	151	32.6	23.4	0.0
SRR12072401	894899	269247363	51.1	35	150	151	33.8	25.7	0.0
SRR12072640	1391152	420127904	55.1	151	151	151	32.4	23.2	0.0
SRR12072631	383057	115683214	56.1	151	151	151	32.1	22.8	0.0
SRR12072630	2086663	630172226	54.4	151	151	151	32.5	23.3	0.0
SRR12072396	926977	278717734	53.7	35	150	151	33.9	26.0	0.0
SRR12072606	485957	146259661	49.7	35	150	151	32.6	23.6	0.0
SRR12072642	1161722	350840044	50.5	151	151	151	32.2	22.9	0.0
SRR12072618	972879	291863700	50.8	150	150	150	34.0	26.5	0.0
